Sample_Name	HABITAT	Region	AllBM_Order	AllBM_Genus	AllBM_Family	Type
57	Pasture	Capira	Primates	Human	Hominidae	Mammal
161	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
171	Pasture	La Chorrera	Primates	Human	Hominidae	Mammal
222	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
244	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
345	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
348	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
356	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
359	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
377	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
381	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
81	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
295	Peridomestic	Veraguas	Primates	Human	Hominidae	Mammal
301	Peridomestic	Veraguas	Primates	Human	Hominidae	Mammal
391	Peridomestic	Veraguas	Primates	Human	Hominidae	Mammal
403	Peridomestic	Veraguas	Primates	Human	Hominidae	Mammal
49	Pasture	Capira	Primates	Human	Hominidae	Mammal
361	Pasture	Veraguas	Primates	Human	Hominidae	Mammal
125	Peridomestic	La Chorrera	Primates	Human	Hominidae	Mammal
139	Peridomestic	Capira	Primates	Human	Hominidae	Mammal
91	Peridomestic	La Chorrera	Carnivora	Leopardus	Felidae	Mammal
227	Pasture	Veraguas	Carnivora	Leopardus	Felidae	Mammal
139	Peridomestic	Capira	Carnivora	Leopardus	Felidae	Mammal
166	Pasture	La Chorrera	Squamata	Lepidodactylus	Gekkonidae	Herp
342	Pasture	Veraguas	Squamata	Lepidodactylus	Gekkonidae	Herp
373	Pasture	Veraguas	Squamata	Lepidodactylus	Gekkonidae	Herp
40	Pasture	Capira	Squamata	Mabuya	Scincidae	Herp
414	Forest	Veraguas	Didelphimorphia	Marmosa	Didelphidae	Mammal
20	Pasture	Capira	Didelphimorphia	Metachirus	Didelphidae	Mammal
21	Pasture	Capira	Didelphimorphia	Metachirus	Didelphidae	Mammal
26	Pasture	Capira	Didelphimorphia	Metachirus	Didelphidae	Mammal
220	Pasture	Veraguas	Didelphimorphia	Metachirus	Didelphidae	Mammal
226	Pasture	Veraguas	Didelphimorphia	Metachirus	Didelphidae	Mammal
423	Forest	Veraguas	Didelphimorphia	Metachirus	Didelphidae	Mammal
411	Forest	Veraguas	Didelphimorphia	Metachirus	Didelphidae	Mammal
14	Pasture	La Chorrera	Didelphimorphia	Metachirus	Didelphidae	Mammal
19	Pasture	Capira	Didelphimorphia	Metachirus	Didelphidae	Mammal
22	Pasture	Capira	Didelphimorphia	Metachirus	Didelphidae	Mammal
32	Pasture	Capira	Didelphimorphia	Metachirus	Didelphidae	Mammal
223	Pasture	Veraguas	Didelphimorphia	Metachirus	Didelphidae	Mammal
389	Peridomestic	Veraguas	Didelphimorphia	Metachirus	Didelphidae	Mammal
412	Forest	Veraguas	Didelphimorphia	Metachirus	Didelphidae	Mammal
5	Pasture	La Chorrera	Rodentia	Mus	Muridae	Mammal
12	Pasture	La Chorrera	Rodentia	Mus	Muridae	Mammal
19	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
24	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
31	Pasture	Capira	Rodentia	Mus	Muridae	Mammal
