#SampleID	Sample_Name	PalmID	ESPECIE	ESTADIO	Age_Group	New_Age_Group	SEXO	PROCEDENCIA	HABITAT	Region	FirstBM	TypeBM	HumanBM	MammalBM	BirdBM	ReptileBM	NumberBM	SecondBM	ThirdBM	FourthBM	FifthBM	TotalBM	PCR_RESULTS_121_122	SingleInf_Tcruzi	PCR_RESULTS_duplex_Trangeli	R1_R2_Results_1stRun	R1_R2_GelDate_1stRun	R1_R2_Results_2ndRun	R1_R2_GelDate_2ndRun	Consensus_R1R2_Results	SingleInf_Trangeli	PCR_RESULTS_duplex_Tcruzi	Coinfection	Infection_Type
A3.P3	220	SF3	R. pallescens	N5	N4_Adult	N3_Adult	NA	Veraguas	Pasture	Veraguas	Heteromys	Mix	No	Yes	Yes	No	Three	Metachirus	Piranga	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
A4.P3	221	SF3	R. pallescens	N3	N1_N3	N3_Adult	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Four	Human	Didelphis	Other	NA		Negative	Negative	Negative						NA	Negative	No	Negative
A5.P3	222	SF3	R. pallescens	N2	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Three	Didelphis	Human	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
A6.P3	223	SF3	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Four	Human	Metachirus	Didelphis	NA		Negative	Negative	Negative						NA	Negative	No	Negative
A10.P3	227	SF4	R. pallescens	N2	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	No	Yes	No	No	Two	Leopardus	NA	NA	NA		Positive	Positive	Negative						NA	Negative	No	Tcruzi
A11.P3	228	SF4	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Two	Human	NA	NA	NA		Positive	Positive	Negative						NA	Negative	No	Tcruzi
A7.P3	224	SF4	R. pallescens	N4	N4_Adult	N3_Adult	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	No	Yes	No	No	Two	Didelphis	NA	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
A8.P3	225	SF4	R. pallescens	N2	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mix	Yes	Yes	Yes	No	Three	Human	Thraupis	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
A9.P3	226	SF4	R. pallescens	N2	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	No	Yes	No	No	Two	Metachirus	NA	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
E1.P3	341	SF6	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Three	Human	Didelphis	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
E2.P3	342	SF6	R. pallescens	N2	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mix	No	Yes	No	Yes	Two	Other	Lepidodactylus	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
E3.P3	343	SF6	R. pallescens	N2	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Two	Human	NA	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
E4.P3	344	SF6	R. pallescens	N2	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Three	Human	Didelphis	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
E5.P3	345	SF6	R. pallescens	N3	N1_N3	N3_Adult	NA	Veraguas	Pasture	Veraguas	Heteromys	Mix	Yes	Yes	Yes	No	Three	Piranga	Human	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
E6.P3	346	SF6	R. pallescens	N3	N1_N3	N3_Adult	NA	Veraguas	Pasture	Veraguas	Heteromys	Mix	No	Yes	Yes	No	Two	Piranga	NA	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
E10.P3	356	SF7	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mix	Yes	Yes	Yes	No	Four	Piranga	Human	Thraupis	NA		Negative	Negative	Negative						NA	Negative	No	Negative
E7.P3	347	SF7	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Pasture	Veraguas	Heteromys	Mix	No	Yes	Yes	No	Three	Piranga	Other	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
E8.P3	348	SF7	R. pallescens	N5	N4_Adult	N3_Adult	NA	Veraguas	Pasture	Veraguas	Didelphis	Mammal	Yes	Yes	No	No	Three	Heteromys	Human	NA	NA		Positive	Positive	Positive						NA	Positive	Yes	Coinfection
E9.P3	353	SF7	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Two	Human	NA	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
E11.P3	359	SF8	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Pasture	Veraguas	Heteromys	Mix	Yes	Yes	Yes	No	Four	Thraupis	Human	Bos	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
E12.P3	360	SF8	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Two	Human	NA	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
F1.P3	361	SF8	R. pallescens	Adult	N4_Adult	N3_Adult	Male	Veraguas	Pasture	Veraguas	Heteromys	Mix	Yes	Yes	Yes	No	Four	Thraupis	Other	Human	NA		Positive	Positive	Negative						NA	Negative	No	Tcruzi
F10.P3	377	SF8	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mix	Yes	Yes	Yes	No	Three	Thraupis	Human	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
F11.P3	378	SF8	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Two	Human	NA	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
F12.P3	379	SF8	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Two	Human	NA	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
F2.P3	362	SF8	R. pallescens	Adult	N4_Adult	N3_Adult	Male	Veraguas	Pasture	Veraguas	Heteromys	Mammal	No	Yes	No	No	Two	Other	NA	NA	NA		Positive	Positive	Negative						NA	Negative	No	Tcruzi
F3.P3	368	SF8	R. pallescens	N2	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mix	Yes	Yes	Yes	No	Four	Human	Bos	Thraupis	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
F4.P3	370	SF8	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Three	Human	Thraupis	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
F5.P3	371	SF8	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mix	No	Yes	Yes	No	Three	Other	Piranga	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
F6.P3	372	SF8	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mix	No	Yes	Yes	No	Two	Piranga	NA	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
F7.P3	373	SF8	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mix	Yes	Yes	No	Yes	Three	Human	Lepidodactylus	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
F8.P3	375	SF8	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Two	Human	NA	NA	NA		Positive	Positive	Negative						NA	Negative	No	Tcruzi
F9.P3	376	SF8	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Two	Human	NA	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
G1.P3	381	SF8	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Didelphis	Mammal	Yes	Yes	No	No	Three	Heteromys	Human	NA	NA		Negative	Negative	Negative						NA	Negative	NA	Negative
G2.P3	381.5	SF8	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Pasture	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Two	Human	NA	NA	NA		Negative	Negative	NA						NA	NA	NA	Negative
